sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
Registrar usuarios,300,4564,872,9114,1746.1734608248082,0.0,7.869265272932351,53.71851986497653,6990.203333333333
Total,300,4564,872,9114,1746.1734608248082,0.0,7.869265272932351,53.71851986497653,6990.203333333333
