sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
Ingresar usuarios,300,4054,331,8512,1435.3394228853638,0.0,7.987858455148174,66.19441053764943,8485.763333333334
Total,300,4054,331,8512,1435.3394228853638,0.0,7.987858455148174,66.19441053764943,8485.763333333334
