id usuario,tiempo en cola,tiempo de procesamiento,tiempo de solicitud
70e79c09-f8d2-4265-881c-29647a3df92d,2,30,registrar
11de8972-115d-4a6e-815f-34039a7e17bd,1,2,registrar
e172ca39-f478-4d1e-8f2d-fbe5bf940827,12,32,registrar
d40f9ef1-3fd0-4347-b3b6-5fd4ba4fd272,44,10,registrar
ca667972-dd5b-468d-8463-ede929f19126,47,8,registrar
b9dc031f-7e62-4e42-ac7f-2feca33a06f7,32,23,registrar
3bbd6393-f616-47f5-ace0-86e9dd0450eb,1,6,registrar
488ce393-e15a-425d-b26e-eca6267aa6b3,1,16,registrar
d55d0053-1d42-4f18-9460-11b3ac7501d3,12,37,registrar
4a80b0f0-de7e-4eb6-9c8c-7026af908b50,1,10,registrar
e71409ee-f454-4320-b072-56c6e31157b2,2,4,registrar
6cdf4b2f-571e-4958-a5bd-9f8639cd92d7,1,4,registrar
e70f56d7-9fed-4ffa-90a4-756091fb98ce,97,3,registrar
d268f75a-a813-4351-b15c-4777f2a2311b,30,15,registrar
6e437345-5f27-453c-8c68-8e9c2057b875,57,5,registrar
52e3e2a1-4cd9-47d1-ade8-1f27102c80da,52,11,registrar
17a18dd3-0836-4a0a-b1c1-1ba94421a82d,75,11,registrar
2483a181-5f9a-45be-b622-925d73cd5fb5,34,13,registrar
4c15ea23-fff2-4f9c-aab6-97d14db5dc8c,2,10,registrar
cbfc0053-d2de-4b64-8785-22534e0fcf2a,17,6,registrar
2b0faf6f-2240-4789-bdf1-cf0e4d91d050,59,6,registrar
505f10c2-63a5-49d2-b1fa-46be5a46d1b3,0,2,ingresar
86486ca7-b97d-4b33-9f04-d079cca3334b,0,12,registrar
5653d0e0-6671-4407-9194-d2d1d403b29c,2,14,registrar
26055829-3d9c-4470-a93a-6831e887495b,24,8,registrar
3872343b-5328-4299-9412-3be32dc3aef4,31,6,registrar
9b1d38ca-0bd9-4d34-b464-369d15d984d9,1,2,ingresar
56f565a7-7d34-4ea6-a22a-b0fff878e819,2,24,registrar
16b4b322-0cd7-41f4-ae6c-fcd771130c59,1,8,registrar
7942a8c8-b1db-4577-98e9-cba281077392,1,14,registrar
23a63eb7-a229-40f2-bc0c-e86175f85b29,25,2,ingresar
8cde5163-a6c7-4cb9-a80f-ce33812d95bf,1,6,registrar
616efdaf-ec99-4276-99aa-6bdceac6f593,2,6,registrar
1d527fb0-216b-4bae-b3f5-7eef379b7e5e,7,22,ingresar
2a76f1ac-eb5b-4659-8a7c-dd5d6dabc43a,9,31,registrar
513c93c2-1106-41ea-a0e4-6a4229ce839c,8,37,registrar
95f9baf6-ce7d-40cb-a262-865164514ad7,40,30,registrar
d926be96-36ef-4afd-bc39-a90aa1a8abe9,45,68,registrar
f03c5947-b7a4-42f0-9789-13b6518afbc6,10,67,registrar
4c901a7e-694e-47a0-86fb-b0d2a208dbca,5,21,registrar
964d706f-7078-4827-8ace-680a6fcf17c1,0,17,registrar
e3adc80a-93f5-4165-b272-7fb94c65aec3,1,18,registrar
58bb11fc-0111-4268-8dc9-8e29de2f2d37,18,49,registrar
2c95fb35-470f-41d7-87e0-52e020941403,26,34,registrar
462f8f01-36e8-4e5d-a3c4-96bf5423759f,1,21,registrar
527693b0-d1d6-4c13-94f4-e0368d1a9425,1,2,ingresar
f7ee57b9-7be3-4401-9546-fb9df4e74883,1,26,registrar
6f8b049f-bab9-4840-847d-582f035b136f,28,3,ingresar
16df6729-e3a6-4d6d-8016-0690fdca16fb,1,18,registrar
f86a35a9-9bfd-4194-98bd-2ee7a3b25b3e,44,61,registrar
c9a9f295-8787-4fa8-8c1e-e97317dcb027,5,3,ingresar
49f08bfe-c973-4c4b-b958-a89e6304dd94,1,17,registrar
59951419-a62d-4f4c-ba5f-5b2e6b646099,1,2,ingresar
0e6b02d3-3622-4e2c-8000-0b08a73cbe37,4,2,ingresar
1b0fda04-e8b5-4126-b3c9-9e2189cceb7d,6,10,ingresar
57ac37fc-060f-437a-a881-c2ab8fcd9873,16,37,registrar
71e3fd53-26ac-489e-9f74-80462c519453,25,5,ingresar
e10a8449-4e56-4860-a762-d104219cb61f,31,23,ingresar
bf34af99-bb11-4848-88ce-b864029eedff,14,37,registrar
628300a2-e7bc-4b9c-b4ef-e797f5f2f509,1,2,ingresar
67e837cf-fc92-4369-ae0c-d305b6f9c319,19,23,ingresar
5f1ab711-a61b-47cc-a9b0-9417f16bb32d,53,68,registrar
b598b525-b8f9-46fd-82b0-bf31e3bd438a,50,62,registrar
eea0075c-803c-4f86-bfff-a0d7025841bb,2,4,ingresar
0d7c2d7e-3f1d-456f-9298-651da145109a,8,9,ingresar
a1365abe-3ff7-4623-af0e-af8e1261a9d6,22,41,ingresar
208f021e-6030-45fb-af57-6e1529f25d27,38,29,ingresar
