sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
Ingresar usuarios,150,3007,509,6218,1263.9548382227374,0.0,8.751458576429405,40.970215413506416,4793.886666666666
Total,150,3007,509,6218,1263.9548382227374,0.0,8.751458576429405,40.970215413506416,4793.886666666666
