sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
Ingresar usuarios,10,536,297,726,151.50712854516092,0.0,10.224948875255624,6.5214004984662575,653.1
Total,10,536,297,726,151.50712854516092,0.0,10.224948875255624,6.5214004984662575,653.1
