sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
Registrar usuarios,10,887,605,1339,280.6203128784515,0.0,6.993006993006993,2.951540646853147,432.2
Total,10,887,605,1339,280.6203128784515,0.0,6.993006993006993,2.951540646853147,432.2
