sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
Registrar usuarios,150,8244,3612,13781,2076.3190896284577,0.0,8.333333333333334,0.68359375,84.0
Total,150,8244,3612,13781,2076.3190896284577,0.0,8.333333333333334,0.68359375,84.0
