sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
Ingresar usuarios,150,5769,452,11714,2123.9740682242063,0.0,10.24380249948781,69.5286090196681,6950.28
Total,150,5769,452,11714,2123.9740682242063,0.0,10.24380249948781,69.5286090196681,6950.28
