e68e75a1-9f72-452e-9dc1-7cd633b5e399,182,148,registrar
beabf51a-01c3-4092-a510-26cceee3a97a,2,95,registrar
8408ddd3-9f38-4fac-b546-9cb51bd1a18a,2,61,registrar
0ff1fcde-828a-4280-aa71-5535338b95c1,1,211,registrar
f1bd1191-f995-4a89-9511-af8d6dda5610,1,141,registrar
fb2baa38-7034-4fe6-9cb6-6bcc5de85da2,1,174,registrar
cb5903c6-f5ef-40bb-81e9-3f444df97d68,149,14,registrar
a7d76e15-03c3-400a-b149-30cd5a079d0c,137,92,registrar
62244cc2-005b-4dd6-836b-f90029dc33f7,150,225,registrar
a90493ba-b16f-4bf2-841b-7a32a02c50f8,167,216,registrar
21b66238-0d1e-48f4-a92f-508d45f5ef2d,26,117,registrar
01fc653f-9d1c-4897-9f12-79de9e817d40,3,52,registrar
fd313768-d208-48f4-b82b-700763de1c65,1,69,registrar
006b5fbd-2ea3-42cc-9f38-518409fe6da5,1,16,registrar
ca62e25c-04b4-45d2-b8d9-34a2dd2bbfd8,10,19,registrar
78c65b4e-0ed2-4f51-a2c5-72df11eba46d,2,79,registrar
add89a60-c506-4621-a7bb-4def58a391cf,1,67,registrar
ad9d6d2c-3636-4f41-af95-856390ef35f0,2,142,registrar
370738b0-1f56-4a64-9f9a-f2bb9a8a1c3c,1,64,registrar
53122fc7-e11e-4636-a718-1cb8366b11d4,5,79,registrar
2ec0de30-ebd7-426d-87c1-fc74913696f5,7,117,registrar
32052aff-bc0f-462d-9077-18f2156cfa42,1,112,registrar
0020cb41-bc42-4e1d-a8bc-02b65a821d6e,73,180,registrar
9510af19-e998-40db-ac22-0988d20a9095,3,362,registrar
b7e5b19b-7714-4c1a-ab57-d5ce5145a830,2,199,registrar
fc18f80f-18e8-4ba6-990f-9b2063ebe48f,16,108,registrar
ead7dc4f-aa5d-4b0c-a731-ad82fe7ccd81,15,449,registrar
1a194137-2300-46e8-a356-cb9ca9d6f5a8,114,382,registrar
8ab9f913-d694-4cd1-8519-e682883b5fd3,0,71,registrar
52b03822-0d8d-4e69-8764-4807a77f0110,6,73,registrar
3d43636e-b0ae-4a05-b876-f3ee89e0199e,39,238,registrar
5560220e-4bc5-458f-9bd4-f2a4f8b4d96d,20,412,registrar
71b6fd14-6e92-4d8e-95a9-995c0b7800f5,37,327,registrar
b53e46ef-d8b4-4544-820e-569c3e147ab2,1,35,registrar
4d2e2234-c49e-48c6-975d-38bee643a6bf,1,221,registrar
