sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
Registrar usuarios,10,628,534,730,69.83838486104918,0.0,13.440860215053764,5.739929855510753,437.3
Total,10,628,534,730,69.83838486104918,0.0,13.440860215053764,5.739929855510753,437.3
