sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
Ingresar usuarios,10,679,570,811,72.25240480426994,0.0,12.285012285012284,7.8352944563882065,653.1
Total,10,679,570,811,72.25240480426994,0.0,12.285012285012284,7.8352944563882065,653.1
