sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
Registrar usuarios,300,5558,1548,10308,1616.1994017653467,0.0,8.360970987430674,57.15099260402442,6999.5
Total,300,5558,1548,10308,1616.1994017653467,0.0,8.360970987430674,57.15099260402442,6999.5
