id usuario,tiempo en cola,tiempo de procesamiento,tiempo de solicitud
4e3bb812-4a40-4ae0-ae50-2e9f84369bf0,82,26,registrar
07972518-131e-49e1-8827-d3c534003ddc,79,34,registrar
0cf34c65-5c49-484a-bf5e-feb837ff4d32,114,12,registrar
d681f4a7-5adc-47c2-9402-5b208e84c17c,2,5,registrar
73d3077a-7ea2-4119-a2cc-8612fd975042,8,6,registrar
0ec544e6-296a-4197-a244-65c4d2cebdaf,15,4,registrar
42eaa43a-4809-4d98-883f-38f957acdff3,2,4,registrar
8e808cb0-91fe-479a-9eb3-883c97abd307,1,4,registrar
bdc6da9f-af65-40bc-8b5f-0b5c6d24f0c3,53,9,registrar
b4b90d1a-6c2e-499d-9256-35d33d8a22cb,1,23,registrar
b603e880-7f24-4556-ae08-e2f7bec06fab,1,5,registrar
07e5cf1a-dd44-427b-a7fc-35c5122c0c52,7,13,registrar
49e671b4-b1e5-4cb6-ae9b-c1080e423ac6,1,5,registrar
70a608b8-ea8f-466f-b82e-3eddd16f1898,7,6,registrar
324407d7-9400-45d1-855b-e4dedb260378,1,4,registrar
141c3070-56ad-48bb-87cf-c0c2ffb780b4,1,14,registrar
7c7f238c-559a-47c9-af9f-df6d5af9db40,6,40,registrar
aed4a1b1-085c-4049-a55c-815f2f54e531,16,25,registrar
b0e00381-f202-4b25-af61-cc628e2fb2a9,19,47,registrar
5a70d7a7-f7ad-4509-ad32-b1072231c9da,2,16,registrar
7dab2bb4-060f-443a-a3ae-81361cb5d4f7,1,25,registrar
62a85cf0-c99a-472a-9593-fe5369ec8587,26,101,registrar
e72d8a11-195d-4614-90a0-27a0ba637f09,1,16,registrar
6bdccb10-61d3-4b12-8919-8a061ccef38f,0,11,registrar
ee75cf1a-9739-4934-a1fc-619b33b911e8,1,7,registrar
081a8936-291c-431d-b8d9-61a46ff89cb5,1,21,registrar
515e5a98-4b8f-4ff7-bc95-000c8d36885b,11,42,registrar
7f9c232c-8b4e-4138-8086-bcb07ad78c1c,0,11,registrar
2cf16abb-ab68-4eeb-bcbd-a9c3b4d44287,29,62,registrar
c58b04f4-7288-4162-886e-16330da82666,1,25,registrar
1162f854-d6d1-44ce-b4de-55c8f73ad550,6,26,registrar
b2b84c1c-0d38-4b86-9a64-0349a0ecce5d,1,14,registrar
877a7296-3b96-4510-a341-45a89fa0d126,8,29,registrar
75a66d19-7760-4574-9813-3f6fa9b6777c,4,26,registrar
ba08a1d1-8c3e-4359-93a8-cc22898db504,23,15,registrar
4126da2a-9a62-4e90-b0f0-0d2022f88d8d,39,5,registrar
446d666c-60a7-4f95-bdc7-179ab759ee09,1,12,registrar
64f27dd9-59d7-46af-aece-243efd6d0178,13,22,registrar
7db52728-0449-47db-a566-b7d7c0d1052f,0,11,registrar
a47ec393-9679-43fe-9131-4166e38654a0,5,8,registrar
5481a262-6895-4e45-965b-c5f94f5fbf68,17,28,registrar
0888b475-8db6-4cc3-a38d-ab30e2913905,1,9,registrar
ae18bbf0-764e-4b58-85c4-ba1c1f55378b,11,8,registrar
b8b3d686-25b1-4b2b-96ba-ee0f653f098e,3,9,registrar
1a6fac3a-240c-4c40-8800-105a4d25a1db,0,21,registrar
da4928af-9959-4d7a-a1f2-9a7f806d5c5b,8,18,registrar
d79240c7-27cb-4f15-bb83-17437a6bb918,22,22,registrar
d50fd46c-82d1-40d5-9609-dbe6ec2bda00,30,25,registrar
c5b3e82a-f42f-4af5-b120-221ed6ca61de,44,41,registrar
0042af80-73e5-45dd-857d-56235283576d,55,67,registrar
d8476e3d-5e3a-4de2-8651-17c875a75ac4,1,47,registrar
b43b891d-c6e2-4f2e-af65-e5671b992eab,2,31,registrar
e40a94a6-8846-40a6-8054-f77d60d01cc5,18,44,registrar
c9263bab-c86d-4d68-a6c2-79743b4f4817,2,37,registrar
6022e1e3-e631-4835-b0c3-41442606bc33,1,25,registrar
1db2935e-9fd7-4c8f-bd10-335f9bb79916,33,67,registrar
