sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
Ingresar usuarios,300,4711,471,11025,1812.6506131322963,0.0,8.683319343541056,76.54736072317579,9027.02
Total,300,4711,471,11025,1812.6506131322963,0.0,8.683319343541056,76.54736072317579,9027.02
